,Accuracy,Precision,Recall,F1 Score
Max_Temperature,0.00023661172016720133,0.00336423444976075,0.05681818181818188,0.02675042348955392
Mean_Humidity,0.004101269816231601,0.10872980048749659,-0.011363636363636354,0.06679035250463816
Mean_Windspeed,0.00023661172016720133,0.008954830780036005,-0.017045454545454475,-0.0015821741710067005
Delta_Temp_30,0.0011041880274469396,0.034544167185186714,0.0,0.02096149464570518
Delta_Temp_90,0.0025238583484501476,0.0730608112132462,0.0,0.04584384440499545
Delta_Temp_180,0.0025238583484501476,0.0730608112132462,0.0,0.04584384440499545
Adaptive_Temperature,0.0013407997476141409,0.04138967692763684,0.0,0.025263293920010366
Delta_Humid_30,0.00039435286694533556,0.01320219741272366,-0.005681818181818121,0.005565862708719838
Delta_Humid_90,-0.00023661172016720133,-0.009760765550239303,0.017045454545454586,0.001657916551533578
Delta_Humid_180,0.0006309645871125369,0.020558869152957127,-0.005681818181818121,0.010060825250698624
Adaptive_Humidity,0.00023661172016720133,0.00857256778309412,-0.011363636363636354,0.0004638218923932458
Mean_Age,-0.00047322344033440267,-0.016263228604426416,0.0,-0.009457560908748275
Age_Gradient,0.012461550595472826,0.23894446860954038,0.011363636363636354,0.17810760667903525
Mean_BMI,-0.000709835160501604,-0.029547999592792418,0.03409090909090917,-0.0014985014985015033
Mean_SDI,0.005836422430791077,0.14193473617986457,-0.017045454545454475,0.08987571568216723
