,Accuracy,Precision,Recall,F1 Score
Max_Temperature,0.7863396166890133,0.037267080745341616,0.5795454545454546,0.07003089598352215
Mean_BMI,0.956226831769067,0.18883415435139572,0.6534090909090909,0.2929936305732484
Adaptive_Humidity,0.9819386386939033,0.40293040293040294,0.625,0.48997772828507796
Mean_SDI,0.9843836264689644,0.4576923076923077,0.6761363636363636,0.5458715596330275
Delta_Temp_180,0.9880116728448616,0.5618556701030928,0.6193181818181818,0.5891891891891892
Age_Gradient,0.9880116728448616,0.5588235294117647,0.6477272727272727,0.6
Delta_Humid_90,0.989746825459421,0.625,0.6534090909090909,0.6388888888888888
Delta_Temp_30,0.9902200488997555,0.6397849462365591,0.6761363636363636,0.6574585635359116
Mean_Age,0.9898256960328101,0.6230366492146597,0.6761363636363636,0.6485013623978202
Mean_Humidity,0.9903777900465336,0.6467391304347826,0.6761363636363636,0.6611111111111111
Delta_Humid_30,0.9910087546336462,0.6823529411764706,0.6590909090909091,0.6705202312138728
Delta_Temp_90,0.9914819780739806,0.7,0.6761363636363636,0.6878612716763006
Mean_Windspeed,0.991955201514315,0.7402597402597403,0.6477272727272727,0.6909090909090909
Adaptive_Temperature,0.9917185897941478,0.7204968944099379,0.6590909090909091,0.6884272997032641
Delta_Humid_180,0.9911664957804244,0.6904761904761905,0.6590909090909091,0.6744186046511628
Without Wet Bulb,0.9901411783263664,0.6440677966101694,0.6477272727272727,0.6458923512747875
Wet Bulb Only,0.8668664721192523,0.03333333333333333,0.3068181818181818,0.060133630289532294
