,Accuracy,Precision,Recall,F1 Score
Max_Temperature,-0.0037857875226753324,-0.12851722103275137,0.37926136363636365,0.15117707263921518
Mean_Humidity,-0.0026717406735547594,-0.06152793384809346,0.04048295454545457,-0.02691757813641346
Mean_Windspeed,-0.0025534348134711587,-0.059234174640344556,-0.0035511363636363397,-0.04216517683109536
Delta_Temp_30,0.00023661172016720133,0.014241086471159459,0.08593750000000003,0.03872468310733773
Delta_Temp_90,-0.004811104976733205,-0.1319892574045779,0.05184659090909094,-0.06253804197577009
Delta_Temp_180,-0.0030562347188264616,-0.0750402092850916,0.3899147727272727,0.17295919446304966
Adaptive_Temperature,-0.004643505008281437,-0.12789805672081597,0.07244318181818182,-0.05063033348968178
Delta_Humid_30,-0.0029576465020901277,-0.06999700763822023,0.030539772727272763,-0.03607215047392562
Delta_Humid_90,-0.0037660698793280656,-0.0939275335355038,0.019176136363636367,-0.05521718329968507
Delta_Humid_180,-0.003194258222257329,-0.07686388503084159,0.02130681818181822,-0.04390982168666083
Adaptive_Humidity,-0.005225175487025807,-0.1480518997552577,0.04900568181818185,-0.07223375200924528
Mean_Age,0.003756211057654349,0.0934602005849621,0.15909090909090912,0.11833910978701079
Age_Gradient,0.001291505639245974,0.05425382860210159,0.19318181818181823,0.10500887860447673
Mean_BMI,0.0023463995583247466,0.05854215640482674,0.10298295454545457,0.07524457960906433
Mean_SDI,0.0019224702263585108,0.05191443522579645,0.11079545454545457,0.07310993158559431
